Action,Role-Playing (RPG),Simulation,Adventure,Racing / Driving,Sports,Puzzle,Compilation,Strategy/Tactics,DLC / Add-on,Special Edition,Educational,platform,country
,,,,,3.0,,,,,,2.0,XaviXPORT,Japan
187.0,16.0,17.0,4.0,52.0,71.0,,9.0,8.0,,2.0,1.0,Xbox,Germany
144.0,12.0,14.0,5.0,24.0,26.0,4.0,8.0,13.0,1.0,1.0,,Xbox,Japan
342.0,34.0,21.0,8.0,63.0,53.0,24.0,36.0,25.0,17.0,36.0,2.0,Xbox 360,Germany
248.0,28.0,13.0,15.0,25.0,12.0,24.0,15.0,18.0,33.0,10.0,1.0,Xbox 360,Japan
23.0,4.0,2.0,2.0,3.0,4.0,1.0,8.0,1.0,12.0,14.0,,Xbox One,Germany
19.0,4.0,2.0,10.0,1.0,1.0,1.0,10.0,1.0,10.0,4.0,,Xbox One,Japan
216.0,5.0,16.0,10.0,19.0,34.0,12.0,17.0,12.0,,,,ZX Spectrum,Germany
,,,,,,,,,,,,ZX Spectrum,Japan
4.0,2.0,,,,1.0,1.0,,2.0,,,1.0,iPad,Germany
16.0,29.0,13.0,21.0,3.0,2.0,5.0,,9.0,,,1.0,iPad,Japan
5.0,2.0,2.0,,,1.0,1.0,,3.0,,,1.0,iPhone,Germany
21.0,36.0,21.0,25.0,3.0,2.0,6.0,,10.0,,,1.0,iPhone,Japan
